Date,EUA,Banks,Basic resources,Chemicals,Financial_Services,Industrial,Retail,Technology,Telecom,Utilities
8/6/2018,17.55,99.42,2522.64,2822.43,2190.41,6963.47,468.76,1203.66,232.35,744.2
8/7/2018,17.49,99.97,2519.98,2821.57,2179.36,6999.15,461.12,1203.21,232.41,746.87
8/8/2018,17.38,99.03,2505.3,2816.33,2183.27,6983.91,454.54,1214.38,232.77,731.71
8/9/2018,17.58,98.8,2443.42,2824.77,2191.11,7015.64,465.58,1208.73,232.89,732.46
8/10/2018,17.87,95.39,2385.23,2757.02,2188.99,6911.53,459.86,1169.51,227.28,720.62
8/13/2018,18.04,93.7,2391.55,2765.4,2207.53,6901.04,455.57,1172.92,228.77,722.65
8/14/2018,18.14,93.24,2366.27,2780.78,2194.59,6910.97,449.93,1163.78,229.37,734.81
8/15/2018,18.07,91.33,2323.42,2723.23,2182.74,6798.01,444.78,1124.28,226.2,725.99
8/16/2018,17.97,91.93,2327.85,2740.05,2203,6864.45,448.52,1137.98,227.58,730.42
8/17/2018,18.12,90.77,2303.23,2729.64,2203.65,6859.1,445.38,1118.1,226.38,733.15
8/20/2018,18.47,90.84,2335.74,2774.1,2204.26,6900.19,446.31,1127.28,227.1,734.87
8/21/2018,19.29,92.43,2364.16,2777.52,2213.72,6908.49,446.35,1145.51,227.44,735.08
8/22/2018,19.78,92.73,2369.27,2775.21,2250.08,6905.66,451.48,1132.94,229.1,738.78
8/23/2018,20.36,91.91,2341.66,2767.2,2267.1,6939.54,456.54,1141.96,229.62,742.67
8/24/2018,20.65,91.98,2368.49,2778.58,2265.17,6954.88,460.67,1152.76,229.08,740.33
8/27/2018,21.28,93.38,2392.24,2812.04,2290.52,7009.04,467.44,1181.56,230.21,743.02
8/28/2018,20.65,92.19,2406.68,2812.74,2289.27,7043.78,465.41,1182.02,228.13,737.19
8/29/2018,21.02,92.85,2396.1,2822.08,2301.73,7077.28,461.49,1183.76,228.75,737.38
8/30/2018,21.13,91.39,2373.3,2815.43,2300.52,7035.55,462.74,1178.41,225.91,736.21
8/31/2018,21.06,90.37,2360.52,2788.15,2290.4,6926.77,457.53,1167.9,225.08,732.78
9/3/2018,20.12,90.66,2342.44,2787.4,2273,6925.36,453.74,1167.67,225.68,732.99
9/4/2018,20.14,91.4,2324.89,2743.55,2269.72,6821.75,448.52,1145.99,222.01,726.16
9/5/2018,20.34,92.35,2307.59,2698.31,2264.21,6728.56,439.9,1118.98,217.34,714.87
9/6/2018,21.44,91.03,2227.19,2679.45,2247.97,6737.51,435.08,1097.53,217.26,717.47
9/7/2018,23.19,89.91,2154.77,2681.95,2255.39,6724.63,435.11,1082.32,219.13,718.8
9/10/2018,25.19,90.23,2183.42,2670.52,2250.79,6744.46,442.19,1084.73,219.98,731.43
9/11/2018,24.13,91.16,2145,2672.2,2260.69,6783,440.78,1064.25,220.33,738.28
9/12/2018,22.92,90.52,2165.52,2694.85,2274.78,6801.55,442.92,1013.98,219.87,718.01
9/13/2018,18.87,92.2,2148.35,2717.75,2254.4,6756.04,437.81,1041.8,220.52,716.93
9/14/2018,19.94,92.82,2180.98,2727.46,2254.64,6792.39,434.67,1062.22,221.52,716.09
9/17/2018,20.9,93.49,2206.95,2711.26,2247.74,6786.62,431.47,1052.87,222.03,718.88
9/18/2018,20.19,94.14,2229.59,2731.28,2252.96,6790.64,416.47,1066.79,224.01,722.42
