"","imf1","imf2","imf3","imf4","imf5","imf6","imf7","residue","date","price","high_f","low_f","trend"
"16",-0.437868666725091,0.344713762940499,-0.31230091238135,-0.660202482992301,0.0463050588918145,-0.316914627430227,-0.170881342383755,7.54065621008041,2013-01-23,6.033507,-1.06565829915824,-0.441490910922167,7.54065621008041
"17",-0.558932649641201,0.306938629101292,-0.454662645100182,-0.677646457514573,0.0456408783110269,-0.327195507348324,-0.176091082372291,7.50041983456425,2013-01-24,5.658471,-1.38430312315466,-0.457645711409588,7.50041983456425
"18",-0.491912860535282,0.184374839127202,-0.590487178498432,-0.693448075144755,0.0447766476520944,-0.337194428673881,-0.181123714492033,7.46046977056509,2013-01-25,5.395455,-1.59147327505127,-0.473541495513819,7.46046977056509
"19",0.612662373773018,-0.342069317401178,-0.873531834533605,-0.730087610622538,0.0410114861460925,-0.365511039109272,-0.195168422555285,7.34233436430277,2013-01-28,5.48964,-1.3330263887843,-0.519667975518464,7.34233436430277
"20",0.501159461757766,-0.384977557643964,-0.898001822413437,-0.738408624624129,0.0393748861142419,-0.37439372407863,-0.199502082116638,7.30352646300479,2013-01-29,5.248777,-1.52022854292377,-0.534520920081027,7.30352646300479
"21",0.233638864343452,-0.310551228435902,-0.875295155372945,-0.744634350819084,0.0375521514740746,-0.383000249462429,-0.203663363267593,7.26500333154043,2013-01-30,5.01905,-1.69684187028448,-0.549111461255948,7.26500333154043
"22",-0.481603829878664,-0.104606573110747,-0.807283181812155,-0.748691155129088,0.0355460653195591,-0.391331775062067,-0.207653211899824,7.22676466157299,2013-01-31,4.521141,-2.14218473993065,-0.563438921642331,7.22676466157299
"23",0.407333439119437,0.204241883522869,-0.700099991177953,-0.750524852390857,0.0333594107446565,-0.399389460678937,-0.211472573905014,7.1888101447658,2013-02-01,5.772258,-0.839049520926504,-0.577502623839295,7.1888101447658
"24",-0.182680333500496,0.365909058223977,-0.210612317625156,-0.74218738096193,0.0257438186466621,-0.421931075646914,-0.221917199075103,7.07664842993896,2013-02-04,5.688973,-0.769570973863604,-0.618104456075355,7.07664842993896
"25",0.142651116710375,0.039075494190724,-0.0146989239048173,-0.734628711035323,0.0228626544686298,-0.428904999346684,-0.2250640734889,7.039827442406,2013-02-05,5.84112,-0.567601024039041,-0.631106418366954,7.039827442406
"26",-0.0872693976598094,-0.226996735222398,0.181648299990373,-0.724596954623929,0.0198147939705823,-0.435610882070666,-0.228045190734049,7.0032890663499,2013-02-06,5.502233,-0.857214787515762,-0.643841278834133,7.0032890663499
"27",-0.143805093995115,-0.343092421786655,0.366770006938119,-0.712042113671964,0.0166030094041197,-0.442049883620262,-0.230861496702224,6.96703299343398,2013-02-07,5.478555,-0.832169622515615,-0.656308370918367,6.96703299343398
"28",0.176226153616944,-0.339529419312304,0.531725568558557,-0.696914190123645,0.0132300730208449,-0.448223163796866,-0.233513937285106,6.93105891532158,2013-02-08,5.93406,-0.328491887260448,-0.668507028061127,6.93105891532158
"29",-0.327208910511812,-0.196572040269672,0.895581051940885,-0.63559194334272,0.00217207548614589,-0.465160274102687,-0.24049752563877,6.82482556643863,2013-02-11,5.857548,-0.263791842183319,-0.703485724255312,6.82482556643863
"30",-0.309476462528681,-0.115642501287409,0.973356264540673,-0.609671588739243,-0.00181786576027772,-0.470282266801285,-0.24250396359726,6.78997638417348,2013-02-12,6.013938,-0.0614342880146602,-0.714604096158823,6.78997638417348
"31",0.42036450548477,-0.0269220277838059,1.02945672885931,-0.580927440589092,-0.00595581823691319,-0.475144337133873,-0.244351265628849,6.75540765502846,2013-02-13,6.871928,0.841971765971179,-0.725451420999635,6.75540765502846
"32",0.295453175139762,0.0559487067626822,1.06393058048638,-0.549308780165081,-0.0102397303635605,-0.479747644901846,-0.246040377625214,6.72111907066687,2013-02-14,6.851115,0.866023682223747,-0.73602775289062,6.72111907066687
"33",0.14301449980046,0.128681257120656,1.07682595501151,-0.514764888740022,-0.014667550560023,-0.484093349906602,-0.247572245478036,6.68711032275205,2013-02-15,6.774534,0.833756823192605,-0.74633314594466,6.68711032275205
"34",-0.500187159347492,0.253068572167176,0.946510748113744,-0.34918327771146,-0.0337768804400529,-0.498923338321371,-0.252146193287443,6.5538675288269,2013-02-19,6.11923,0.350208883221968,-0.784846412048867,6.5538675288269
"35",-0.0748645532141202,0.220803113123779,0.883637021741435,-0.301981311897274,-0.0388911525208682,-0.50199842653098,-0.252906028797719,6.52125333809575,2013-02-20,6.455052,0.72759426975382,-0.793795607849568,6.52125333809575
"36",0.423971479550521,0.157801276793601,0.815023026711206,-0.252904615926521,-0.0441231346198359,-0.504822870785751,-0.25351429551452,6.4889171337913,2013-02-21,6.830348,1.14389116712881,-0.802460300920107,6.4889171337913
"37",0.433000663064014,0.0635206450487869,0.743919285683126,-0.202184544569918,-0.0494568865862822,-0.507397830887079,-0.253971939329529,6.45685860757688,2013-02-22,6.684288,1.03825604922601,-0.81082665680289,6.45685860757688
"38",0.050561984468746,-0.238294829147383,0.548174813212473,-0.0424776258921048,-0.0659093601837875,-0.513637404284359,-0.254450592280564,6.36234601410698,2013-02-25,5.846313,0.317964342641731,-0.83399735674871,6.36234601410698
"39",-0.293515359045888,-0.223506503987699,0.498516366151405,0.0125023993007926,-0.0714907901134406,-0.515226025785873,-0.254315203405176,6.33139511688588,2013-02-26,5.48436,-0.00600309758138945,-0.841032019304489,6.33139511688588
"40",-0.134419625217506,-0.100568554228866,0.455740969733499,0.0679690260259863,-0.0770942891572176,-0.516570962140925,-0.254033919883485,6.30072035486851,2013-02-27,5.741743,0.288721816313113,-0.847699171181628,6.30072035486851
"41",0.234055535129028,0.079594292825719,0.41512283073681,0.123690899512761,-0.0827039171644455,-0.517673373150912,-0.253607680225778,6.27032141233682,2013-02-28,6.2688,0.852463558204317,-0.853984970541135,6.27032141233682
"42",-0.211101514577485,0.230277420424677,0.371662031133709,0.179436664990404,-0.0883037339844531,-0.518534418617227,-0.253037414712701,6.24019796534308,2013-03-01,5.950597,0.570274601971305,-0.859875567314381,6.24019796534308
"43",0.151456615059238,-0.0503545754736582,0.17918547807076,0.344503765661439,-0.10488491581445,-0.519680959768124,-0.250471634734591,6.15147722699939,2013-03-04,5.901231,0.624791283317779,-0.875037510317165,6.15147722699939
